game,id,score,userId
Wordle,203,3,alext
Wordle,204,6,mike
Wordle,204,6,alexj
Wordle,204,4,sam
Wordle,204,3,krymden
Wordle,204,4,adam
Wordle,204,6,tim
Wordle,204,4,tanner
Wordle,204,4,nick
Wordle,205,5,trevor
Wordle,205,4,adam
Wordle,205,5,krymden
Wordle,205,4,tim
Wordle,205,6,mike
Wordle,205,4,alexj
Wordle,205,5,sam
Wordle,205,6,nick
Wordle,205,4,tanner
Wordle,205,5,mike
Wordle,206,5,trevor
Wordle,206,4,krymden
Wordle,206,3,brady
Wordle,206,3,alext
Wordle,206,3,tim
Wordle,206,3,alext
Wordle,206,3,julian
Wordle,206,4,tanner
Wordle,206,3,nick
Wordle,206,3,adam
Wordle,207,4,adam
